QuestionType,Asin,AnswerTime,UnixTime,Question,AnswerType,Answer,Category
yes/no,B00004U9JO,"Oct 31, 2013",1383202800.0,will this one work to replace the badger 1 1/3 HP,Y,Yes it will. The sink connector is even the same,Appliances
open-ended,B00004U9JO,"Apr 2, 2014",1396422000.0,so can this unit be connected with a dishwasher or do I need a different model?,,"yes, I did it with mine.",Appliances
open-ended,B00004U9JO,"Jul 6, 2014",1404630000.0,How easy to replace existing badger 1 with badger 5?,,Not difficult as long as you have a helper or something to prop up the replacement as you screw it into place.,Appliances
yes/no,B00004U9JO,14 days ago,,My present disposal has a 3 bolt connection. Would changing to the twist type connection for a new disposal make installation complicated?,?,If I understand your present disposal 3 bolts the twist type should be no problem. When you order it is a bit confusing as to what comes with the disposal. When they show people often order some things when the get the disposal. You don't need any of those it all come with it the only thing you might need would be some different drain pipe but most likely you won't. I hope I was some help. Bill,Appliances
open-ended,B00004U9JO,"Jun 27, 2014",1403852400.0,Does the unit come with the rubber collar or do I need to buy that separately?,,"If you mean the rubber collar that is visible when looking at the drain, with the rubber flaps, then yes it does.",Appliances
yes/no,B00004U9JO,"Jan 14, 2014",1389686400.0,is there a connection for the dish washer,Y,yes.,Appliances
open-ended,B00004W4UJ,"Nov 28, 2010",1290931200.0,burner plates for electric glass cooktops? Can burner plates be used for electric glass cooktops?,,I'm looking for the same item because I have a small espresso machine that has a footprint much smaller than the smallest burner. Is there anything that's on the market for such an issue? Glass tops are a pain.,Appliances
open-ended,B00004W4UJ,"Apr 9, 2014",1397026800.0,I have a electic stove that has varying sizes of burners. here its mentioned as 8 inch. What can i do for small burners ? How many plates in package?,,I use the Nordic on all size electric burners. It instructs to turn the heat to medium after achieving full heat. This is important to prevent warping. Only one per pkg. Beware - treated with something that smells terrible until it burns off.,Appliances
yes/no,B00004W4UJ,"Aug 7, 2013",1375858800.0,can these be used for gas stove burner?,Y,yes it can.i use it on my grills side burner to slow boil leftover marinades and veggies.,Appliances
yes/no,B00004W4UJ,"Aug 7, 2013",1375858800.0,is this for electric stoves?,?,"This is purportedly for all heat sources. Heat is heat and the heat WILL distort this sooner or later. My stove was electric and the first time I used it, it warped. If you want to hammer it out after using it, give it a shot. Heat diffusers are a good thing for cooking, particularly on an electric stove which is notorious for hot spots. It's warped but I still use it.",Appliances
yes/no,B00004W4UJ,"Mar 26, 2013",1364281200.0,"Hi, I'm interested in this product. Can it be used over induction stove top as an adapter plate for non-induction cookware? How's the transfer of heat",?,"I don't see how it could be used that way, no. I ordered one for that same purpose assuming it was a solid plate, but this is a stamped steel disc with a raised rim for it to slip over a conventional burner. The only way I could see it working on an induction cooktop would be to place it upside down and then use a pan or pot that is smaller than the raised rim.",Appliances
yes/no,B00004W4UJ,"Dec 28, 2013",1388217600.0,can you bake corn bread on this without it burnding.,?,"this is a flat diffuser for a burner. it distributes heat evenly and prevents thinner steel pans from scorching. can be used for toasting tortillas, not for other direct food applicatioms. pots and pans only.",Appliances
yes/no,B00004W4UJ,"Dec 15, 2014",1418630400.0,Can this be used on gas stove when making polenta which needs low heat.,Y,"Yes, I think it should be fine. I've been using mine on a gas stove with no problems.",Appliances
open-ended,B00004W4UJ,"Nov 4, 2013",1383552000.0,just bought a new alum Pressure Cooker/found in manual that it shouldn't be used on my ceramic stovetop.Any ideas? do I have to get a hotplate or a ..,,maybe a single electric burner?,Appliances
